exam_id,course,acadorg,enrollment,modality,prefdate,prefdate2,prefdate3
1-PHIL-3310-LEC-1006885-2,PHIL 3310,PHIL,14,Online,2021-04-20,2021-04-15,2021-04-22
1-PHIL-4300-LEC-1006885-1,PHIL 4300,PHIL,8,Online,2021-03-16,2021-03-04,2021-03-18
1-PHIL-4300-LEC-1006885-2,PHIL 4300,PHIL,8,Online,2021-04-15,2021-04-13,2021-04-20
1-PHYS-1112-LEC-1022590-2,PHYS 1112,PHYS,385,Online,2021-04-20,2021-04-22,2021-04-15
1-PHYS-1116-LEC-2028972-1,PHYS 1116,PHYS,45,In-Person,2021-03-18,2021-03-23,2021-03-16
1-PHYS-1116-LEC-2028972-2,PHYS 1116,PHYS,45,In-Person,2021-04-20,2021-04-15,2021-04-22
1-PHYS-2208-LEC-1035306-1,PHYS 2208,PHYS,400,In-Person,2021-03-18,2021-03-23,2021-03-16
1-PHYS-2208-LEC-1035306-2,PHYS 2208,PHYS,400,In-Person,2021-04-22,2021-04-29,2021-04-20
1-PHYS-2213-LEC-1008658-1,PHYS 2213,PHYS,218,Online,2021-03-23,2021-03-25,2021-03-18
1-PHYS-2214-LEC-1017932-1,PHYS 2214,PHYS,228,Online,2021-03-23,2021-03-25,2021-03-18
1-PHYS-2214-LEC-1017932-2,PHYS 2214,PHYS,228,Online,2021-04-20,2021-04-22,2021-04-15
1-PHYS-2217-LEC-1009483-1,PHYS 2217,PHYS,55,In-Person,2021-03-16,2021-03-18,2021-03-04
1-PHYS-2217-LEC-1009483-2,PHYS 2217,PHYS,55,In-Person,2021-04-20,2021-04-22,2021-04-15
1-PHYS-2218-LEC-1309977-1,PHYS 2218,PHYS,30,In-Person,2021-03-16,2021-03-18,2021-03-04
1-PHYS-2218-LEC-1309977-2,PHYS 2218,PHYS,30,In-Person,2021-04-20,2021-04-22,2021-04-15
1-PHYS-3318-LEC-2319573-1,PHYS 3318,PHYS,70,In-Person,2021-03-16,2021-03-18,2021-03-04
1-PHYS-3318-LEC-2319573-2,PHYS 3318,PHYS,70,In-Person,2021-04-20,2021-04-15,2021-04-22
1-PHYS-4443-LEC-1013508-1,PHYS 4443,PHYS,37,Online,2021-03-30,2021-03-25,2021-04-01
1-PSYCH-3420-LEC-1013419-1,PSYCH 3420,PSYCH,100,In person,2021-03-16,2021-03-18,2021-03-04
1-PSYCH-3420-LEC-1013419-2,PSYCH 3420,PSYCH,100,In person,2021-04-22,2021-04-20,2021-04-29
1-STSCI-1380-LEC-1757307-1,STSCI 1380,STSCI,64,In person,2021-03-16,2021-03-18,2021-03-04
1-STSCI-1380-LEC-1757307-2,STSCI 1380,STSCI,64,In person,2021-04-20,2021-04-22,2021-04-15
1-STSCI-2150-LEC-1319792-1,STSCI 2150,STSCI,140,In person,2021-03-18,2021-03-16,2021-03-23
1-STSCI-2150-LEC-1319792-2,STSCI 2150,STSCI,140,Online,2021-04-08,2021-04-06,2021-04-13
1-STSCI-2150-LEC-1319792-3,STSCI 2150,STSCI,140,Online,2021-04-29,2021-05-04,2021-04-22
